Temperaturmålinger fra Åbjøra.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Tid,Ug,Pg,Qg,If,Spor-temp,Blikk-temp,W-luft temp,K-luft temp,K vann inn,K vann ut,It,Ug[pu],Pg[pu],Qg[pu],If[pu],It[pu]
,3/13/2017 4:28,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:29,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:30,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:31,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:32,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:33,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:34,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:35,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:36,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:37,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:38,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:39,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:40,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:41,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:42,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:43,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:44,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:45,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:46,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:47,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:48,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:49,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,16.057617,14.018555,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:50,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,13.372852,14.630273,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:51,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,6.67793,9.838477,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:52,0.025781,0.111719,0.111717,0,28.291992,28.291992,24.213867,22.174805,5.862305,5.862305,3538.162408,0.002343727,0.00108465,0.001084631,0,0.654488052
,3/13/2017 4:53,0.052207,0.111719,0.111717,0,28.291992,28.291992,24.213867,21.563086,4.366992,5.862305,1747.224798,0.004746091,0.00108465,0.001084631,0,0.323201036
,3/13/2017 4:54,5.298799,0.111719,0.111717,289.394531,28.291992,28.291992,24.213867,19.388086,3.823242,5.862305,17.21472451,0.481709,0.00108465,0.001084631,0.271731954,0.003184374
,3/13/2017 4:55,10.512304,0.111719,-0.318398,573.046875,28.291992,28.291992,24.213867,18.09668,3.823242,5.862305,18.53207462,0.955664,0.00108465,-0.003091243,0.538072183,0.003428057
,3/13/2017 4:56,10.530351,2.482949,1.295937,588.125,28.291992,28.291992,24.213867,17.315039,3.823242,5.862305,153.5602601,0.957304636,0.024106301,0.012581913,0.552230047,0.028405524
,3/13/2017 4:57,10.550977,3.296634,2.066795,595.3125,28.291992,28.291992,24.213867,16.057617,3.823242,5.862305,212.9126979,0.959179727,0.032006155,0.020065971,0.558978873,0.039384517
,3/13/2017 4:58,10.550977,3.747233,1.949491,595.3125,28.291992,29.345508,24.213867,16.057617,3.823242,5.862305,231.1382143,0.959179727,0.036380903,0.018927097,0.558978873,0.042755866
,3/13/2017 4:59,10.550977,4.492025,1.821015,595.3125,28.291992,30.331055,24.179883,16.057617,3.823242,5.862305,265.2337159,0.959179727,0.043611893,0.017679757,0.558978873,0.049062841
,3/13/2017 5:00,10.550977,10.66821,2.066795,596.367188,28.291992,30.331055,22.174805,16.057617,3.823242,5.862305,594.6195489,0.959179727,0.103574854,0.020065971,0.559969191,0.109992517
,3/13/2017 5:01,10.550977,24.865801,2.066795,608.789062,28.291992,30.331055,22.174805,16.057617,3.823242,5.862305,1365.350566,0.959179727,0.241415544,0.020065971,0.571632922,0.252562073
,3/13/2017 5:02,10.550977,41.373178,2.634699,650.576172,29.685352,30.331055,22.174805,16.057617,3.823242,5.862305,2268.529321,0.959179727,0.40168134,0.025579602,0.610869645,0.419631765
,3/13/2017 5:03,10.550977,56.799675,4.123353,703.945312,30.331055,31.078711,22.174805,15.275977,3.823242,5.862305,3116.261576,0.959179727,0.551453155,0.040032553,0.660981514,0.576444983
,3/13/2017 5:04,10.550977,60.643731,5.083202,720.117188,30.331055,32.370117,22.174805,14.018555,3.823242,5.862305,3330.066701,0.959179727,0.588774087,0.049351476,0.676166374,0.61599458
,3/13/2017 5:05,10.550977,61.316838,5.083202,728.466797,31.418555,32.370117,22.174805,14.018555,3.823242,5.862305,3366.77186,0.959179727,0.595309107,0.049351476,0.684006382,0.622784288
,3/13/2017 5:06,10.550977,61.739506,5.329915,728.90625,32.370117,32.370117,22.174805,14.018555,3.823242,5.862305,3390.95621,0.959179727,0.59941268,0.051746748,0.684419014,0.6272579
,3/13/2017 5:07,10.550977,61.646406,4.997553,728.90625,32.981836,32.370117,22.174805,14.018555,3.823242,5.862305,3384.362598,0.959179727,0.598508796,0.048519932,0.684419014,0.626038216
,3/13/2017 5:08,10.550977,61.948048,4.915627,728.90625,34.40918,32.370117,22.174805,14.018555,3.823242,5.862305,3400.45721,0.959179727,0.601437359,0.047724534,0.684419014,0.629015392
,3/13/2017 5:09,10.550977,61.906153,4.915627,728.90625,34.40918,32.370117,22.174805,14.018555,3.823242,5.862305,3398.1719,0.959179727,0.601030612,0.047724534,0.684419014,0.628592656
,3/13/2017 5:10,10.550977,61.951771,4.703359,728.90625,35.870508,33.831445,22.174805,14.018555,3.823242,5.862305,3399.76127,0.959179727,0.601473505,0.04566368,0.684419014,0.628886657
